OID_,REGION,TAZ,PUMA
1567,1,4051,2504303
1568,1,4065,2504303
1569,1,4054,2504303
1570,1,4063,2504303
1571,1,4052,2504303
1572,1,4053,2504303
1576,1,4004,2504303
1577,1,4006,2504303
1579,1,4007,2504303
1580,1,4021,2504303
1586,1,4023,2504303
1587,1,4011,2504303
1588,1,4019,2504303
1590,1,4020,2504303
1592,1,4012,2504303
1593,1,4015,2504303
1594,1,4022,2504303
1595,1,4017,2504303
1596,1,4018,2504303
1597,1,4036,2504303
1598,1,4038,2504303
1599,1,4013,2504303
1601,1,4009,2504303
1604,1,4016,2504303
1605,1,4037,2504303
1606,1,4008,2504303
1608,1,4043,2504303
1609,1,4046,2504303
1610,1,4028,2504303
1613,1,4001,2504303
1614,1,4003,2504303
1615,1,4002,2504303
1616,1,4010,2504303
1617,1,4005,2504303
1618,1,4014,2504303
1619,1,5499,2501900
1620,1,5523,2501900
1621,1,5566,2501900
1622,1,5495,2501900
1623,1,5494,2501900
1624,1,5492,2501900
1625,1,5541,2501900
1626,1,5567,2501900
1627,1,5601,2501900
1628,1,5509,2501900
1629,1,5545,2501900
1630,1,5536,2501900
1631,1,5577,2501900
1632,1,5532,2501900
1633,1,5462,2501900
1635,1,5555,2501900
1637,1,5576,2501900
1638,1,5288,2501900
1639,1,5249,2501900
1640,1,5435,2501900
1642,1,5579,2501900
1645,1,5544,2501900
1646,1,5568,2501900
1647,1,5276,2501900
1649,1,5263,2501900
1650,1,5543,2501900
1651,1,5575,2501900
1652,1,5556,2501900
1654,1,5572,2501900
1655,1,5460,2501900
1656,1,5461,2501900
1657,1,5513,2501900
1659,1,5451,2501900
1660,1,5458,2501900
1661,1,5454,2501900
1663,1,5571,2501900
1664,1,5574,2501900
1665,1,5569,2501900
1666,1,5600,2501900
1667,1,5598,2501900
1668,1,5498,2501900
1669,1,5599,2501900
1670,1,5595,2501900
1671,1,5548,2501900
1672,1,5446,2501900
1673,1,5549,2501900
1674,1,5530,2501900
1675,1,5542,2501900
1676,1,5275,2501900
1677,1,5307,2501900
1679,1,5551,2501900
1680,1,5504,2501900
1681,1,5547,2501900
1682,1,5608,2501900
1683,1,5558,2501900
1684,1,5560,2501900
1685,1,5525,2501900
1686,1,5562,2501900
1687,1,5570,2501900
1688,1,5524,2501900
1689,1,5552,2501900
1690,1,5573,2501900
1691,1,5309,2501900
1692,1,5557,2501900
1693,1,5565,2501900
1694,1,5564,2501900
1695,1,5493,2501900
1696,1,5553,2501900
1697,1,5490,2501900
1698,1,5496,2501900
1699,1,5488,2501900
1700,1,5538,2501900
1701,1,5515,2501900
1702,1,5535,2501900
1703,1,5597,2501900
1704,1,5596,2501900
1705,1,5534,2501900
1706,1,5594,2501900
1707,1,5489,2501900
1708,1,5497,2501900
1709,1,5518,2501900
1710,1,5491,2501900
1711,1,5445,2501900
1712,1,5505,2501900
1713,1,5442,2501900
1714,1,5550,2501900
1715,1,5447,2501900
1716,1,5506,2501900
1717,1,5516,2501900
1718,1,5527,2501900
