OID_,id,taz,type,town,state,town_state,mpo,in_brmpo,subregion,sector,FID_PUMAs,statefp10,pumace10,geoid10,aland10,awater10,state10,puma10,Shape_Length,Shape_Area
199,1896,54,I,HANOVER,MA,"HANOVER,MA",OCPC,0, ,Southeast,32,25,4901,2504901,299193233,6716110,25,4901,2685.970637,1916.706448
200,1896,54,I,HANOVER,MA,"HANOVER,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,12096.71391,6400292.175
201,1895,55,I,HANOVER,MA,"HANOVER,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,12176.05664,6049365.088
202,1899,56,I,HANOVER,MA,"HANOVER,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,8519.614055,1689442.602
203,1872,74,I,COHASSET,MA,"COHASSET,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,15917.49218,12245418.76
204,1872,74,I,COHASSET,MA,"COHASSET,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,373.4111458,274.8232421
205,1911,75,I,SCITUATE,MA,"SCITUATE,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,1931.988484,6684.344313
206,1911,75,I,SCITUATE,MA,"SCITUATE,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,13684.15655,4268244.162
207,1914,76,I,SCITUATE,MA,"SCITUATE,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,13333.0062,5611867.194
208,1907,57,I,NORWELL,MA,"NORWELL,MA",BRMPO,1,SSC,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,18843.11433,15231257.33
209,1907,57,I,NORWELL,MA,"NORWELL,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,8620.014109,2289.263694
210,1915,58,I,SCITUATE,MA,"SCITUATE,MA",BRMPO,1,SSC,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,2347.827156,652.6435704
211,1915,58,I,SCITUATE,MA,"SCITUATE,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,24383.76261,7436904.136
212,2637,59,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,54416.25322,15373445.83
213,2644,60,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,12968.40402,2992985.687
214,2645,61,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,11511.50569,4050879.791
215,2667,62,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,16982.55998,4137334.784
216,1893,63,I,HANOVER,MA,"HANOVER,MA",OCPC,0, ,Southeast,32,25,4901,2504901,299193233,6716110,25,4901,8370.570521,2432.198859
217,1893,63,I,HANOVER,MA,"HANOVER,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,13800.20117,7614950.682
218,1894,64,I,HANOVER,MA,"HANOVER,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,13900.64718,6624870.292
219,1908,65,I,NORWELL,MA,"NORWELL,MA",BRMPO,1,SSC,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,15576.42731,8794925.581
220,1912,66,I,SCITUATE,MA,"SCITUATE,MA",BRMPO,1,SSC,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,6737.597917,3194.915692
221,1912,66,I,SCITUATE,MA,"SCITUATE,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,7888.834992,12962.91354
222,1912,66,I,SCITUATE,MA,"SCITUATE,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,16668.62408,10014703.96
223,1916,67,I,SCITUATE,MA,"SCITUATE,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,25822.60983,6932942.05
224,2640,68,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,9178.270076,2317279.549
225,1883,87,I,ROCKLAND,MA,"ROCKLAND,MA",BRMPO,1,SSC,Southeast,32,25,4901,2504901,299193233,6716110,25,4901,10816.11132,4446493.789
226,1883,87,I,ROCKLAND,MA,"ROCKLAND,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,2095.594857,295.9119917
227,1866,88,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,Southeast,32,25,4901,2504901,299193233,6716110,25,4901,1880.572017,647.6880413
228,1866,88,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,7802.099016,2705168.478
229,1890,69,I,ROCKLAND,MA,"ROCKLAND,MA",BRMPO,1,SSC,Southeast,32,25,4901,2504901,299193233,6716110,25,4901,7926.954114,2591011.359
230,1890,69,I,ROCKLAND,MA,"ROCKLAND,MA",BRMPO,1,SSC,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,1280.177786,296.1835443
231,1892,70,I,ROCKLAND,MA,"ROCKLAND,MA",BRMPO,1,SSC,Southeast,32,25,4901,2504901,299193233,6716110,25,4901,7251.045936,1531582.775
232,1892,70,I,ROCKLAND,MA,"ROCKLAND,MA",BRMPO,1,SSC,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,3087.369027,403.8416105
